month,from,to,distance_km,start_time,end_time
1,Berlin,Ústí nad Labem,204.82,2024-01-02T19:31:10.948Z,2024-01-02T22:20:25.949Z
1,Ústí nad Labem,Weppersdorf,390.87,2024-01-02T22:24:27.904Z,2024-01-03T03:30:39.771Z
1,Weppersdorf,Weppersdorf,1.49,2024-01-04T12:03:00.634Z,2024-01-04T12:07:02.722Z
1,Weppersdorf,Weppersdorf,1.46,2024-01-04T12:17:07.662Z,2024-01-04T12:25:42.722Z
1,Weppersdorf,Stoob Süd,9.28,2024-01-04T17:00:08.520Z,2024-01-04T17:10:10.542Z
1,Stoob Süd,Šentilj v Slovenskih goricah,111.95,2024-01-04T17:28:59.443Z,2024-01-04T19:25:18.961Z
1,Šentilj v Slovenskih goricah,Tončići,138.34,2024-01-04T19:31:18.687Z,2024-01-04T21:06:37.084Z
1,Tončići,Grad Slunj,29.8,2024-01-04T21:14:39.363Z,2024-01-04T22:26:21.366Z
1,Grad Slunj,Gralla,182.59,2024-01-05T10:31:54.493Z,2024-01-05T13:29:54.779Z
1,Gralla,Weppersdorf,106.58,2024-01-05T13:35:55.788Z,2024-01-05T15:37:29.119Z
1,Weppersdorf,Vienna,66.6,2024-01-05T15:51:06.905Z,2024-01-05T17:03:27.133Z
1,Vienna,Weppersdorf,66.63,2024-01-05T18:01:08.138Z,2024-01-05T18:54:36.645Z
1,Weppersdorf,Lackenbach,3.38,2024-01-06T07:13:17.410Z,2024-01-06T07:44:21.366Z
1,Lackenbach,Weppersdorf,3.38,2024-01-06T15:50:58.605Z,2024-01-06T16:14:49.544Z
1,Weppersdorf,Stoob Süd,9.19,2024-01-08T08:05:44.638Z,2024-01-08T08:23:02.457Z
1,Stoob Süd,Weppersdorf,7.89,2024-01-08T08:41:27.247Z,2024-01-08T08:49:30.769Z
1,Weppersdorf,Weppersdorf,1.43,2024-01-08T08:57:19.584Z,2024-01-08T09:01:21.546Z
1,Weppersdorf,Stoob Süd,9.34,2024-01-09T08:32:43.027Z,2024-01-09T08:45:32.714Z
1,Stoob Süd,Oberpullendorf/Felsőpulya,0.94,2024-01-09T09:12:36.779Z,2024-01-09T09:16:38.483Z
1,Stoob Süd,Weppersdorf,10.17,2024-01-09T09:30:42.428Z,2024-01-09T09:38:46.058Z
1,Weppersdorf,Kaisersdorf,5.92,2024-01-10T11:02:21.813Z,2024-01-10T11:10:21.346Z
1,Kaisersdorf,Weppersdorf,4.85,2024-01-10T11:26:36.670Z,2024-01-10T11:37:19.853Z
1,Weppersdorf,Weppersdorf,1.39,2024-01-10T11:43:20.788Z,2024-01-10T11:49:22.652Z
1,Weppersdorf,Weppersdorf,1.43,2024-01-12T08:07:41.199Z,2024-01-12T08:13:44.092Z
1,Weppersdorf,Weppersdorf,1.4,2024-01-12T08:25:43.966Z,2024-01-12T08:29:44.067Z
1,Weppersdorf,Kalkgruben,4.33,2024-01-15T11:56:52.400Z,2024-01-15T12:02:54.187Z
1,Kalkgruben,Weppersdorf,4.29,2024-01-15T12:52:07.099Z,2024-01-15T13:04:46.914Z
1,Weppersdorf,Weppersdorf,1.47,2024-01-15T15:30:51.545Z,2024-01-15T15:53:05.583Z
1,Weppersdorf,Weppersdorf,1.44,2024-01-15T16:11:09.242Z,2024-01-15T16:15:10.689Z
1,Weppersdorf,Kaisersdorf,5.91,2024-01-16T11:02:32.939Z,2024-01-16T11:12:27.163Z
